created_at,entry_id,field1
2025-11-22 21:31:13 UTC,231,-71
2025-11-22 21:31:33 UTC,232,-70
2025-11-22 21:31:54 UTC,233,-70
2025-11-22 21:32:14 UTC,234,-71
2025-11-22 21:32:34 UTC,235,-71
2025-11-22 21:32:55 UTC,236,-71
2025-11-22 21:33:15 UTC,237,-79
2025-11-22 21:33:35 UTC,238,-73
2025-11-22 21:33:56 UTC,239,-74
2025-11-22 21:34:16 UTC,240,-71
2025-11-22 21:34:37 UTC,241,-76
2025-11-22 21:34:57 UTC,242,-72
2025-11-22 21:35:17 UTC,243,-70
2025-11-22 21:35:38 UTC,244,-67
2025-11-22 21:35:58 UTC,245,-70
2025-11-22 21:36:18 UTC,246,-69
2025-11-22 21:36:39 UTC,247,-67
2025-11-22 21:36:59 UTC,248,-69
2025-11-22 21:37:20 UTC,249,-67
2025-11-22 21:37:40 UTC,250,-67
2025-11-22 21:38:01 UTC,251,-72
2025-11-22 21:38:21 UTC,252,-68
2025-11-22 21:38:42 UTC,253,-68
2025-11-22 21:39:02 UTC,254,-68
2025-11-22 21:39:23 UTC,255,-71
2025-11-22 21:39:44 UTC,256,-72
2025-11-22 21:40:04 UTC,257,-68
2025-11-22 21:40:25 UTC,258,-71
2025-11-22 21:40:45 UTC,259,-71
2025-11-22 21:41:06 UTC,260,-67
2025-11-22 21:41:26 UTC,261,-67
2025-11-22 21:41:47 UTC,262,-67
2025-11-22 21:42:07 UTC,263,-67
2025-11-22 21:42:28 UTC,264,-67
2025-11-22 21:42:49 UTC,265,-68
2025-11-22 21:43:09 UTC,266,-68
2025-11-22 21:43:30 UTC,267,-68
2025-11-22 21:43:50 UTC,268,-71
2025-11-22 21:44:11 UTC,269,-72
2025-11-22 21:44:31 UTC,270,-74
2025-11-22 21:44:51 UTC,271,-75
2025-11-22 21:45:12 UTC,272,-73
2025-11-22 21:45:32 UTC,273,-73
2025-11-22 21:45:52 UTC,274,-71
2025-11-22 21:46:13 UTC,275,-68
2025-11-22 21:46:33 UTC,276,-70
2025-11-22 21:46:54 UTC,277,-66
2025-11-22 21:47:14 UTC,278,-67
2025-11-22 21:47:35 UTC,279,-66
2025-11-22 21:47:55 UTC,280,-68
2025-11-22 21:48:16 UTC,281,-67
2025-11-22 21:48:36 UTC,282,-66
2025-11-22 21:48:57 UTC,283,-66
2025-11-22 21:49:17 UTC,284,-68
2025-11-22 21:49:38 UTC,285,-72
2025-11-22 21:49:58 UTC,286,-75
2025-11-22 21:50:19 UTC,287,-71
2025-11-22 21:50:39 UTC,288,-70
2025-11-22 21:51:00 UTC,289,-69
2025-11-22 21:51:20 UTC,290,-71
2025-11-22 21:51:41 UTC,291,-69
2025-11-22 21:52:02 UTC,292,-70
2025-11-22 21:52:22 UTC,293,-69
2025-11-22 21:52:43 UTC,294,-68
2025-11-22 21:53:03 UTC,295,-68
2025-11-22 21:53:24 UTC,296,-72
2025-11-22 21:53:45 UTC,297,-71
2025-11-22 21:54:05 UTC,298,-67
2025-11-22 21:54:25 UTC,299,-69
2025-11-22 21:54:46 UTC,300,-72
2025-11-22 21:55:07 UTC,301,-68
2025-11-22 21:55:27 UTC,302,-69
2025-11-22 21:55:48 UTC,303,-68
2025-11-22 21:56:08 UTC,304,-71
2025-11-22 21:56:29 UTC,305,-71
2025-11-22 21:56:50 UTC,306,-70
2025-11-22 21:57:10 UTC,307,-69
2025-11-22 21:57:31 UTC,308,-71
2025-11-22 21:57:51 UTC,309,-70
2025-11-22 21:58:12 UTC,310,-67
2025-11-22 21:58:32 UTC,311,-71
2025-11-22 21:58:53 UTC,312,-68
2025-11-22 21:59:14 UTC,313,-69
2025-11-22 21:59:34 UTC,314,-68
2025-11-22 21:59:54 UTC,315,-71
2025-11-22 22:00:15 UTC,316,-70
2025-11-22 22:00:36 UTC,317,-67
2025-11-22 22:00:56 UTC,318,-76
2025-11-22 22:01:17 UTC,319,-78
2025-11-22 22:01:37 UTC,320,-80
2025-11-22 22:01:57 UTC,321,-66
2025-11-22 22:02:18 UTC,322,-68
2025-11-22 22:02:38 UTC,323,-67
2025-11-22 22:02:59 UTC,324,-66
2025-11-22 22:03:20 UTC,325,-67
2025-11-22 22:03:40 UTC,326,-67
2025-11-22 22:04:01 UTC,327,-67
2025-11-22 22:04:22 UTC,328,-67
2025-11-22 22:04:42 UTC,329,-64
2025-11-22 22:05:03 UTC,330,-64
